Retail and E-commerce,In-Store Foot Traffic,visitors/day
trend,exponential_falling,stable_rising,volatile_falling,exponential_falling
Year,Pop-Up Shops,Tech Gadget Hubs,Neighborhood Stores,MegaMall Chain
1963,21363.35,21215.22,20493.62,19895.39
1964,18065.73,20883.43,18033.69,17562.31
1965,16955.83,21425.44,17166.38,16430.27
1966,14628.11,21505.26,16103.97,13868.47
1967,13767.72,24777.01,13310.28,12178.36
1968,13385.68,25146.88,13331.95,11872.29
1969,9182.95,24850.91,11908.14,11351.98
1970,10893.56,24080.55,9329.71,10337.25
1971,8120.79,28627.23,13462.43,8660.55
1972,7189.6,30333.87,7970.69,7563.68
1973,6609.31,29330.5,4284.35,4749.17
1974,9943.71,30687.2,200.0,7775.91
1975,6914.55,32021.0,7120.47,5600.11
1976,5144.79,31058.96,4505.09,2674.72
1977,4004.86,32141.76,4400.63,6876.22
1978,3519.57,35507.75,1675.87,4687.84
1979,3190.03,36866.7,697.16,3577.67
1980,1916.88,37844.73,200.0,3534.68
1981,3422.2,37627.68,200.0,2383.01
1982,200.0,39471.13,408.8,3257.75
1983,2996.49,38629.25,200.0,3608.98
1984,700.17,40028.43,200.0,3172.02
1985,1834.96,42237.84,200.0,2743.96
1986,3023.0,43853.38,200.0,3550.7
1987,1772.11,44119.14,200.0,3933.9
1988,1993.32,44971.14,200.0,964.35
1989,1247.88,47431.6,200.0,619.24
