Food and Beverage Industry,Food Cost Percentage,%
trend,stable_rising,exponential_falling,exponential_falling,periodic_stable
Year,Sky High Cafe,The Golden Spoon,The Rusty Kettle,Crimson Plate
1991,29.7,30.06,29.51,29.6
1992,31.35,27.29,26.82,37.58
1993,33.96,24.42,23.92,34.21
1994,34.1,21.98,21.62,25.94
1995,35.08,19.87,19.86,22.19
1996,38.02,17.77,17.35,29.61
1997,38.77,15.63,15.5,37.07
1998,40.66,14.21,14.71,34.18
1999,41.71,12.27,12.74,25.5
2000,44.6,12.35,11.71,23.07
2001,44.76,11.31,10.34,29.2
2002,46.59,9.35,9.3,37.39
2003,47.6,8.14,7.83,34.32
2004,49.99,7.78,7.9,25.33
2005,51.09,6.81,7.02,22.93
2006,52.39,6.15,6.02,29.78
2007,53.52,5.8,5.07,37.12
2008,54.96,5.26,5.45,34.21
2009,56.85,5.18,4.46,25.31
2010,58.38,3.82,4.0,23.07
2011,59.5,3.31,3.67,29.69
2012,61.39,3.11,3.41,37.24
2013,62.74,2.42,2.15,34.39
