Cultural Trends and Influences,Cultural Event Funding,$
trend,volatile_falling,exponential_falling,exponential_rising,exponential_rising
Year,Silverhaven Arts Foundation,Azure Creative Trust,Stellar Cultural Development Agency,Borealis Artistic Grants
1993,60125817.39,52755767.5,48546876.13,47216359.91
1994,38155170.12,48164058.86,51923239.35,56326160.35
1995,43309130.91,38491700.88,62107112.48,57690618.57
1996,50273255.72,36754915.8,68213241.44,67263911.46
1997,35486203.06,35476746.68,77592412.74,70876324.97
1998,39868763.61,31434824.11,78303390.83,82135279.51
1999,35002791.67,26040395.51,90741786.35,90195661.11
2000,29602875.5,19404616.51,99164084.32,95625434.96
2001,27992349.74,21139655.37,106097899.53,105243584.63
2002,15851986.97,16827103.24,112161323.76,123709680.49
2003,20479240.6,17774241.68,127639670.38,125456741.85
2004,20476150.09,10595686.81,138530744.52,141405300.87
2005,16761504.21,13759947.75,156563369.5,153206474.22
2006,2468610.55,9549496.86,170877652.94,172313470.13
2007,5579345.32,13188983.87,189625381.92,189922546.3
2008,11646862.71,12877281.79,208360167.76,210438083.51
2009,5338952.57,5913847.08,232407444.71,222090312.56
2010,2381393.58,14064954.84,251231442.51,253763506.89
2011,500000.0,3984738.13,277488145.72,277752504.23
2012,500000.0,7062736.83,311755927.31,309139985.47
2013,500000.0,11192740.75,334520898.64,334000203.8
2014,500000.0,8476453.75,368751146.73,373409112.92
2015,500000.0,2476120.97,406940303.54,406861026.76
2016,500000.0,9138929.91,444992419.95,446569338.62
2017,500000.0,500000.0,489861349.63,493239047.27
2018,500000.0,779325.91,542277004.86,541391537.42
2019,500000.0,5463653.1,596853609.68,593807818.75
2020,500000.0,12640070.03,656998063.62,658384842.76
