Sports and Entertainment,Fan Engagement,index
trend,exponential_rising,stable_rising,volatile_rising,volatile_rising,exponential_rising,volatile_falling,exponential_rising
Year,Crimson Faithful,Shadowfen Devotees,Veridian Followers,Azure Legion,Golden Enthusiasts,Ironwood Fanatics,Silverleaf Supporters
1964,69.64,69.52,70.77,74.4,70.82,73.72,68.04
1965,75.68,74.47,75.41,69.6,78.18,66.6,73.61
1966,85.37,74.51,75.26,88.93,87.47,62.33,85.13
1967,95.33,78.65,94.42,90.01,95.35,60.01,88.68
1968,99.94,84.99,90.27,92.86,100.56,54.73,103.11
1969,112.33,85.37,105.95,96.58,111.74,43.22,111.46
1970,125.19,91.2,105.26,102.25,126.23,42.9,124.12
1971,137.13,95.44,116.36,112.07,139.5,51.06,135.16
1972,148.09,98.2,112.08,114.91,151.24,36.04,150.03
1973,165.23,99.27,117.74,110.97,163.94,32.38,165.11
1974,177.47,100.96,122.76,122.2,179.77,25.36,186.1
1975,202.44,110.17,130.1,135.37,199.32,34.28,199.83
1976,220.8,111.75,135.3,138.89,223.18,21.73,219.87
1977,241.21,113.71,141.85,142.51,240.57,14.94,239.49
1978,263.62,118.37,145.3,151.38,264.61,6.31,266.03
1979,293.23,123.64,158.41,156.14,290.49,6.27,289.89
1980,323.55,128.79,157.39,163.06,322.99,0.7,319.96
1981,351.58,127.15,162.58,169.3,354.65,0.7,352.3
1982,385.75,130.66,171.19,173.3,387.56,0.7,389.97
1983,425.78,132.22,178.48,174.43,428.15,0.7,427.67
1984,474.35,140.06,182.33,186.37,471.53,0.7,468.67
1985,515.92,146.17,189.64,180.54,514.94,0.7,520.1
1986,573.02,144.24,199.12,201.12,569.9,0.7,568.92
1987,629.52,146.18,189.69,197.43,627.27,0.7,626.94
