Transportation and Logistics,Driver Satisfaction,index
trend,periodic_stable,periodic_stable,stable_rising,stable_rising,volatile_rising
Year,Long-Haul Operators,Freight Train,Night Shift,Drone Pilots,Last-Mile Couriers
1952,80.23,78.63,77.2,75.29,76.72
1953,97.64,98.84,81.8,82.81,79.46
1954,89.44,90.93,86.27,87.29,95.86
1955,68.24,67.76,88.48,87.42,100.75
1956,62.49,62.54,94.69,95.14,105.69
1957,82.4,77.84,98.37,98.11,112.65
1958,97.9,98.64,100.16,101.16,129.43
1959,85.37,90.41,103.57,103.54,119.84
1960,62.3,63.7,107.19,109.98,133.07
1961,57.3,59.25,115.5,112.25,132.71
1962,75.06,77.41,120.47,118.19,137.92
1963,98.37,99.81,117.84,119.3,148.0
1964,92.35,93.86,124.0,124.33,148.79
1965,67.39,69.81,127.07,131.02,164.12
1966,56.73,60.74,134.26,130.7,171.56
1967,83.2,76.27,137.27,140.11,168.33
1968,96.28,94.13,141.91,138.93,177.23
1969,89.67,89.0,145.02,143.72,177.33
1970,65.62,66.78,150.05,149.95,190.83
1971,60.98,60.44,153.53,151.62,196.29
1972,76.01,75.51,156.06,156.42,198.75
1973,99.34,92.24,160.94,162.87,208.58
