Healthcare and Health,Average Treatment Cost,$
trend,periodic_stable,exponential_rising,periodic_stable,volatile_rising,exponential_falling,volatile_rising
Year,Pediatric Treatment,Rehabilitation Therapy,Standard Consultation,Preventative Screening,Emergency Procedure,Specialist Surgery
2000,5063.66,4993.23,5028.22,5131.99,5172.82,4856.71
2001,6188.77,5324.12,6149.26,5091.15,4439.64,5485.02
2002,5707.46,6011.74,5548.2,5798.65,3940.24,5307.33
2003,4186.96,6629.41,4243.47,6200.51,3600.36,6519.89
2004,3882.04,7470.94,3874.79,6617.53,3394.7,6660.92
2005,4966.7,8047.82,5217.83,6852.34,3038.42,6991.81
2006,6343.82,8812.98,6030.58,7462.96,2828.93,7552.96
2007,5646.47,9666.87,5719.81,7708.71,2391.35,8286.41
2008,4293.66,10672.23,4263.26,8471.94,2082.92,7533.52
2009,4047.35,11892.21,3852.72,8280.79,2094.19,8635.2
2010,4946.37,12844.7,4890.27,8948.09,1570.33,8911.29
2011,6072.47,14552.29,6070.84,9458.89,1525.46,9792.01
2012,5691.48,15318.03,5809.52,9714.11,1546.22,9657.3
2013,4328.22,17305.32,4027.72,10209.58,1216.86,10261.62
2014,3913.49,18805.84,3846.18,10502.97,1055.32,10330.34
2015,5121.23,20917.34,4896.75,11342.2,1015.41,11136.88
2016,6223.96,22968.84,6268.06,11320.33,968.03,11450.64
2017,5682.16,25110.38,5599.47,11931.77,757.34,12052.4
2018,4437.73,27573.95,4351.25,12162.93,663.27,12012.63
2019,3840.35,30514.67,3727.21,12713.11,741.64,12770.84
2020,4907.02,33507.06,5099.09,12850.06,692.86,13282.54
