Tourism and Hospitality,Flight Bookings,bookings/month
trend,volatile_falling,volatile_falling,stable_falling,exponential_falling,periodic_stable,periodic_stable
Year,EcoFly,Global Wings,Last-Minute Deals,Regional Carriers,Business Class,Charter Flights
1986,142240.74,148554.29,155571.5,157558.41,159074.1,161830.0
1987,168022.81,209473.49,136456.79,134539.5,167337.73,174098.33
1988,141997.3,102386.77,111438.23,125403.04,192486.46,173053.01
1989,121926.67,114757.17,143096.8,121996.21,117809.09,129328.09
1990,110937.19,79301.88,119715.89,102945.61,106507.76,123181.45
1991,108053.94,57052.12,146856.58,93106.19,127049.07,135674.32
1992,119719.99,119919.84,100069.07,77592.61,190853.05,185589.6
1993,135889.75,78442.32,111962.91,83557.82,145002.65,175241.56
1994,74167.36,120650.09,86446.18,77514.66,126863.37,135769.85
1995,86148.19,37733.53,86856.69,77123.45,95636.06,137083.2
1996,5478.03,88749.51,113441.93,51963.97,144894.6,135205.59
1997,1500.0,80968.67,100056.28,47139.3,189141.81,203663.67
1998,65387.2,90413.21,114110.18,23636.97,157150.18,162390.94
1999,14060.98,45283.63,113205.91,19228.64,134251.64,138253.35
2000,1500.0,29706.99,92639.91,39798.54,106925.64,130592.05
2001,1500.0,20806.95,80096.5,12420.39,151847.19,138459.68
2002,15126.78,1500.0,85858.92,23754.49,194719.32,188258.57
2003,8203.89,1500.0,85212.53,39422.24,200767.46,153621.74
2004,1500.0,1500.0,65582.03,28329.86,134277.78,101507.51
