Healthcare and Health,Healthcare Distribution by Category (2022),%
parent,child,value
,Medical Tech,100.0
Medical Tech,Imaging Systems,64.87
Imaging Systems,CT Scanners,50.23
CT Scanners,Reconstruction,50.23
Reconstruction,Iterative Algorithms,8.77
Reconstruction,Deep Learning,41.46
Deep Learning,CNN Architectures,41.46
CNN Architectures,U-Net Variants,16.47
CNN Architectures,Attention Gates,24.99
Imaging Systems,MRI Machines,14.64
MRI Machines,Pulse Sequences,14.64
Pulse Sequences,Gradient Echo,8.31
Pulse Sequences,Spin Echo,6.33
Spin Echo,Contrast Weighting,6.33
Medical Tech,Robotic Surgery,35.13
Robotic Surgery,Haptic Control,35.13
Haptic Control,Force Feedback,35.13
Force Feedback,Bilateral Teleoperation,35.13
Bilateral Teleoperation,Passivity Control,16.16
Bilateral Teleoperation,Wave Variables,18.97
