Agriculture and Food Production,Agriculture Production Distribution by Category (2021),%
parent,child,value
,Crop Systems,100.0
Crop Systems,Precision Planting,64.33
Precision Planting,Seeders,30.21
Seeders,Row Units,30.21
Row Units,Depth Control,30.21
Depth Control,Parallel Linkages,10.3
Depth Control,Pressure Sensors,19.91
Precision Planting,Fertigation Systems,34.12
Fertigation Systems,Dosing Mechanisms,34.12
Dosing Mechanisms,Venturi Injectors,34.12
Venturi Injectors,Flow Calibration,17.34
Venturi Injectors,Anti-Clog Nozzles,16.78
Crop Systems,Irrigation Tech,35.67
Irrigation Tech,Pivot Systems,16.9
Pivot Systems,Control Modules,10.14
Control Modules,Water Flow,10.14
Water Flow,Valve Types,10.14
Valve Types,Ball Valves,5.1
Valve Types,Solenoid Valves,5.04
Pivot Systems,Sprinkler Types,6.76
Sprinkler Types,Impact Drive,6.76
Impact Drive,Nozzle Plates,6.76
Irrigation Tech,Drip Networks,18.77
Drip Networks,Emitter Design,18.77
Emitter Design,Pressure Compensating,18.77
Pressure Compensating,Silicone Diaphragms,18.77
Silicone Diaphragms,Laser-Drilled Orifices,8.61
Silicone Diaphragms,Turbulence Chambers,10.16
