Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,81.22
Pedagogy,Active Learning,33.95
Active Learning,Flipped Classroom,15.92
Flipped Classroom,Digital Platforms,15.92
Digital Platforms,LMS Integration,6.97
Digital Platforms,Video Analytics,8.95
Active Learning,Project-Based,18.03
Project-Based,Collaborative Tools,18.03
Collaborative Tools,Real-Time Editing,9.37
Collaborative Tools,Version Control,8.66
Pedagogy,Competency-Based,47.27
Competency-Based,Micro-Credentials,47.27
Micro-Credentials,Blockchain Issuance,47.27
Blockchain Issuance,Smart Contracts,25.62
Blockchain Issuance,Decentralized IDs,21.65
Learning Systems,Experiential,18.78
Experiential,Lab Simulations,13.09
Lab Simulations,VR Environments,6.69
VR Environments,Haptic Feedback,6.69
Lab Simulations,AR Labs,6.4
AR Labs,Spatial Anchors,6.4
Experiential,Fieldwork Tech,5.69
Fieldwork Tech,Mobile Sensing,5.69
Mobile Sensing,IoT Kits,5.69
