Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,92.36
Pedagogy,Active Learning,48.79
Active Learning,Flipped Classroom,13.74
Flipped Classroom,Digital Platforms,13.74
Digital Platforms,LMS Integration,5.95
Digital Platforms,Video Analytics,7.79
Active Learning,Project-Based,35.05
Project-Based,Collaborative Tools,35.05
Collaborative Tools,Real-Time Editing,10.39
Collaborative Tools,Version Control,24.66
Pedagogy,Competency-Based,43.57
Competency-Based,Micro-Credentials,43.57
Micro-Credentials,Blockchain Issuance,43.57
Blockchain Issuance,Smart Contracts,35.63
Blockchain Issuance,Decentralized IDs,7.94
Learning Systems,Experiential,7.64
