Business and Finance,Business Distribution by Category (2022),%
parent,child,value
,Supply Chain,100.0
Supply Chain,Logistics,30.46
Logistics,Route Optimization,14.43
Route Optimization,Vehicle Routing,9.21
Vehicle Routing,Metaheuristics,9.21
Route Optimization,Transport Modes,5.22
Transport Modes,Intermodal,5.22
Logistics,Warehouse Design,16.03
Warehouse Design,Slotting Algorithms,16.03
Slotting Algorithms,ABC Analysis,16.03
ABC Analysis,Pareto Thresholds,7.73
ABC Analysis,Velocity Profiling,8.3
Supply Chain,Inventory Control,69.54
Inventory Control,RFID Tracking,14.78
RFID Tracking,Real-Time Locating,14.78
Real-Time Locating,Triangulation,14.78
Triangulation,TDOA,8.74
Triangulation,RSSI Mapping,6.04
Inventory Control,Demand Sensing,54.76
Demand Sensing,Social Listening,54.76
Social Listening,Sentiment Analysis,54.76
Sentiment Analysis,BERT Models,11.3
Sentiment Analysis,Emoji Decoding,43.46
