Healthcare and Health,Healthcare Distribution by Category (2022),%
parent,child,value
,Medical Tech,100.0
Medical Tech,Imaging Systems,56.82
Imaging Systems,CT Scanners,26.47
CT Scanners,Reconstruction,26.47
Reconstruction,Iterative Algorithms,17.67
Iterative Algorithms,MAP-EM,9.46
Iterative Algorithms,OSEM,8.21
Reconstruction,Deep Learning,8.8
Deep Learning,CNN Architectures,8.8
Imaging Systems,MRI Machines,30.35
MRI Machines,Pulse Sequences,30.35
Pulse Sequences,Gradient Echo,14.45
Gradient Echo,TR Adjustment,7.59
Gradient Echo,TE Optimization,6.86
Pulse Sequences,Spin Echo,15.9
Spin Echo,Contrast Weighting,15.9
Contrast Weighting,T1 Mapping,7.52
Contrast Weighting,T2 Relaxometry,8.38
Medical Tech,Robotic Surgery,43.18
Robotic Surgery,Haptic Control,43.18
Haptic Control,Force Feedback,43.18
Force Feedback,Bilateral Teleoperation,43.18
Bilateral Teleoperation,Passivity Control,34.17
Bilateral Teleoperation,Wave Variables,9.01
