Food and Beverage Industry,Food Industry Distribution by Category (2021),%
parent,child,value
,Processing Lines,26.01
Processing Lines,Thermal Systems,26.01
Thermal Systems,Retort Machines,7.14
Thermal Systems,Blast Chillers,18.87
Blast Chillers,Refrigeration Circuits,18.87
Refrigeration Circuits,Compressor Types,18.87
Compressor Types,Scroll Compressors,6.94
Compressor Types,Screw Compressors,11.93
,Packaging Systems,73.99
Packaging Systems,Filling Machines,30.77
Filling Machines,Volumetric,11.55
Volumetric,Piston Fillers,11.55
Piston Fillers,Seal Mechanisms,11.55
Seal Mechanisms,Rotary Joints,5.1
Seal Mechanisms,PTFE Gaskets,6.45
Filling Machines,Gravimetric,19.22
Gravimetric,Load Cells,19.22
Load Cells,Calibration,19.22
Calibration,Auto-Zeroing,13.51
Calibration,Temperature Compensation,5.71
Packaging Systems,Sealing Equipment,43.22
Sealing Equipment,Aseptic Sealers,43.22
Aseptic Sealers,H2O2 Sterilization,43.22
H2O2 Sterilization,Vapor Control,43.22
Vapor Control,Catalytic Converters,7.48
Vapor Control,Condensation Traps,35.74
