Human Resources and Employee Management ,Employee Distribution by Category (2022),%
parent,child,value
,Talent Development,100.0
Talent Development,Competency Models,31.47
Competency Models,Skill Mapping,22.27
Skill Mapping,AI Assessment,22.27
AI Assessment,NLP Analysis,11.51
NLP Analysis,Sentiment Scoring,5.2
NLP Analysis,Competency Clusters,6.31
AI Assessment,Behavioral Analytics,10.76
Behavioral Analytics,Micro-Expression,10.76
Micro-Expression,FACS Coding,5.61
Micro-Expression,Eye-Tracking,5.15
Competency Models,360 Feedback,9.2
360 Feedback,Peer Evaluation,9.2
Peer Evaluation,Anonymization,9.2
Talent Development,Career Pathing,68.53
Career Pathing,Succession Planning,30.8
Succession Planning,Graph Databases,30.8
Graph Databases,Neo4j Queries,30.8
Neo4j Queries,Cypher Scripts,11.17
Neo4j Queries,Path Algorithms,19.63
Career Pathing,Leadership Pipeline,37.73
Leadership Pipeline,Simulation Labs,37.73
Simulation Labs,VR Scenarios,37.73
VR Scenarios,Stress Testing,30.59
VR Scenarios,Decision Trees,7.14
