Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
,Valuation Models,100.0
Valuation Models,Hedonic Pricing,82.15
Hedonic Pricing,Spatial Features,31.48
Spatial Features,GIS Integration,11.58
GIS Integration,Heatmap Layers,11.58
Heatmap Layers,Kernel Density,6.21
Heatmap Layers,Hexagonal Binning,5.37
Spatial Features,Geospatial Regression,19.9
Geospatial Regression,Spatial Lag,19.9
Spatial Lag,Moran's I Test,13.13
Spatial Lag,Queen Contiguity,6.77
Hedonic Pricing,Crime Statistics,50.67
Crime Statistics,Hotspot Analysis,50.67
Hotspot Analysis,Getis-Ord Gi*,50.67
Getis-Ord Gi*,Z-Score Clustering,11.4
Getis-Ord Gi*,Temporal Smoothing,39.27
Valuation Models,Amenity Scoring,17.85
Amenity Scoring,POI Analysis,12.3
POI Analysis,Network Buffers,6.79
Network Buffers,Walking Accessibility,6.79
POI Analysis,Data Scraping,5.51
Data Scraping,APIs Integration,5.51
Amenity Scoring,School Districts,5.55
School Districts,Catchment Areas,5.55
Catchment Areas,Voronoi Diagrams,5.55
