Sports and Entertainment,Sports Distribution by Category (2022),%
parent,child,value
,Training Tech,100.0
Training Tech,Biomechanics,5.88
Training Tech,Force Analysis,94.12
Force Analysis,EMG Systems,17.23
EMG Systems,Wireless Sensors,17.23
Wireless Sensors,Signal Processing,17.23
Signal Processing,Noise Filtering,11.77
Signal Processing,Peak Detection,5.46
Force Analysis,Force Plates,76.89
Force Plates,Piezoelectric,76.89
Piezoelectric,Calibration,76.89
Calibration,Temperature Drift,14.05
Calibration,Nonlinearity Correction,62.84
