Human Resources and Employee Management ,Employee Distribution by Category (2022),%
parent,child,value
,Talent Development,100.0
Talent Development,Competency Models,80.83
Competency Models,Skill Mapping,74.2
Skill Mapping,AI Assessment,74.2
AI Assessment,NLP Analysis,27.06
NLP Analysis,Sentiment Scoring,6.97
NLP Analysis,Competency Clusters,20.09
AI Assessment,Behavioral Analytics,47.14
Behavioral Analytics,Micro-Expression,47.14
Micro-Expression,FACS Coding,6.29
Micro-Expression,Eye-Tracking,40.85
Competency Models,360 Feedback,6.63
Talent Development,Career Pathing,19.17
Career Pathing,Succession Planning,5.55
Succession Planning,Graph Databases,5.55
Graph Databases,Neo4j Queries,5.55
Career Pathing,Leadership Pipeline,13.62
Leadership Pipeline,Simulation Labs,13.62
Simulation Labs,VR Scenarios,13.62
VR Scenarios,Stress Testing,5.6
VR Scenarios,Decision Trees,8.02
