Healthcare and Health,Healthcare Distribution by Category (2022),%
parent,child,value
,Medical Tech,100.0
Medical Tech,Imaging Systems,23.98
Imaging Systems,CT Scanners,12.37
CT Scanners,Reconstruction,12.37
Reconstruction,Iterative Algorithms,6.81
Reconstruction,Deep Learning,5.56
Deep Learning,CNN Architectures,5.56
Imaging Systems,MRI Machines,11.61
MRI Machines,Pulse Sequences,11.61
Pulse Sequences,Gradient Echo,6.36
Pulse Sequences,Spin Echo,5.25
Spin Echo,Contrast Weighting,5.25
Medical Tech,Robotic Surgery,76.02
Robotic Surgery,Haptic Control,76.02
Haptic Control,Force Feedback,76.02
Force Feedback,Bilateral Teleoperation,76.02
Bilateral Teleoperation,Passivity Control,55.59
Bilateral Teleoperation,Wave Variables,20.43
