Sports and Entertainment,Sports Distribution by Category (2022),%
parent,child,value
,Training Tech,100.0
Training Tech,Biomechanics,64.47
Biomechanics,Motion Capture,23.64
Motion Capture,Wearables,18.05
Wearables,IMU Sensors,18.05
IMU Sensors,9-Axis Tracking,5.14
IMU Sensors,Pressure Mapping,12.91
Motion Capture,Optical Systems,5.59
Optical Systems,Infrared Markers,5.59
Biomechanics,Gait Analysis,40.83
Gait Analysis,Foot Strike,40.83
Foot Strike,Plantar Pressure,40.83
Plantar Pressure,Midsole Sensors,9.82
Plantar Pressure,Shear Force Detection,31.01
Training Tech,Force Analysis,35.53
Force Analysis,EMG Systems,16.69
EMG Systems,Wireless Sensors,16.69
Wireless Sensors,Signal Processing,16.69
Signal Processing,Noise Filtering,10.71
Signal Processing,Peak Detection,5.98
Force Analysis,Force Plates,18.84
Force Plates,Piezoelectric,18.84
Piezoelectric,Calibration,18.84
Calibration,Temperature Drift,12.68
Calibration,Nonlinearity Correction,6.16
