Business and Finance,Business Distribution by Category (2022),%
parent,child,value
,Supply Chain,100.0
Supply Chain,Logistics,33.03
Logistics,Route Optimization,17.27
Route Optimization,Vehicle Routing,11.7
Vehicle Routing,Metaheuristics,11.7
Metaheuristics,Ant Colony,6.37
Metaheuristics,Genetic Algorithm,5.33
Route Optimization,Transport Modes,5.57
Transport Modes,Intermodal,5.57
Logistics,Warehouse Design,15.76
Warehouse Design,Slotting Algorithms,15.76
Slotting Algorithms,ABC Analysis,15.76
ABC Analysis,Pareto Thresholds,9.91
ABC Analysis,Velocity Profiling,5.85
Supply Chain,Inventory Control,66.97
Inventory Control,RFID Tracking,27.66
RFID Tracking,Real-Time Locating,27.66
Real-Time Locating,Triangulation,27.66
Triangulation,TDOA,11.38
Triangulation,RSSI Mapping,16.28
Inventory Control,Demand Sensing,39.31
Demand Sensing,Social Listening,39.31
Social Listening,Sentiment Analysis,39.31
Sentiment Analysis,BERT Models,19.93
Sentiment Analysis,Emoji Decoding,19.38
