Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,93.44
Payment Systems,Fraud Detection,26.63
Fraud Detection,ML Models,26.63
ML Models,Behavior Analysis,21.52
Behavior Analysis,Session Tracking,11.69
Behavior Analysis,Device Fingerprinting,9.83
ML Models,Anomaly Detection,5.11
Anomaly Detection,Isolation Forest,5.11
Payment Systems,Gateway APIs,66.81
Gateway APIs,Tokenization,66.81
Tokenization,PCI Compliance,66.81
PCI Compliance,Vaultless Systems,41.42
PCI Compliance,HSM Integration,25.39
Platform Architecture,Recommendation Engines,6.56
