Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
,Valuation Models,100.0
Valuation Models,Hedonic Pricing,21.6
Hedonic Pricing,Spatial Features,14.94
Spatial Features,GIS Integration,5.93
GIS Integration,Heatmap Layers,5.93
Spatial Features,Geospatial Regression,9.01
Geospatial Regression,Spatial Lag,9.01
Hedonic Pricing,Crime Statistics,6.66
Crime Statistics,Hotspot Analysis,6.66
Hotspot Analysis,Getis-Ord Gi*,6.66
Valuation Models,Amenity Scoring,78.4
Amenity Scoring,POI Analysis,62.77
POI Analysis,Network Buffers,41.12
Network Buffers,Walking Accessibility,41.12
Walking Accessibility,Pedestrian Paths,24.68
Walking Accessibility,Crosswalk Density,16.44
POI Analysis,Data Scraping,21.65
Data Scraping,APIs Integration,21.65
APIs Integration,OAuth 2.0,7.04
APIs Integration,Rate Limiting,14.61
Amenity Scoring,School Districts,15.63
School Districts,Catchment Areas,15.63
Catchment Areas,Voronoi Diagrams,15.63
Voronoi Diagrams,Centroid Mapping,5.11
Voronoi Diagrams,Weighted Polygons,10.52
