Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,25.28
Cultural Activities,Art Exhibitions,6.18
Cultural Activities,Public Art,19.1
Public Art,Urban Sculpture,5.17
Public Art,Community Projects,13.93
,Artwork Sales,74.72
Artwork Sales,Primary Market,16.02
Primary Market,Galleries,5.48
Primary Market,Art Fairs,10.54
Art Fairs,International,5.26
Art Fairs,Regional,5.28
Artwork Sales,Secondary Market,58.7
Secondary Market,Auction Houses,10.91
Auction Houses,Modern Masters,5.88
Auction Houses,Emerging Artists,5.03
Secondary Market,Art Funds,47.79
Art Funds,Investment Grade,13.33
Art Funds,Experimental,34.46
