Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,25.64
Payment Systems,Fraud Detection,10.68
Fraud Detection,ML Models,10.68
ML Models,Behavior Analysis,5.59
ML Models,Anomaly Detection,5.09
Anomaly Detection,Isolation Forest,5.09
Payment Systems,Gateway APIs,14.96
Gateway APIs,Tokenization,14.96
Tokenization,PCI Compliance,14.96
PCI Compliance,Vaultless Systems,5.35
PCI Compliance,HSM Integration,9.61
Platform Architecture,Recommendation Engines,74.36
Recommendation Engines,Collaborative Filtering,46.18
Collaborative Filtering,Matrix Factorization,46.18
Matrix Factorization,SVD Algorithms,46.18
SVD Algorithms,Parallel Computing,39.75
SVD Algorithms,GPU Acceleration,6.43
Recommendation Engines,Real-Time Prediction,28.18
Real-Time Prediction,Stream Processing,28.18
Stream Processing,Kafka Pipelines,28.18
Kafka Pipelines,Exactly-Once Semantics,9.1
Kafka Pipelines,Stateful Operators,19.08
