Healthcare and Health,Healthcare Distribution by Category (2022),%
parent,child,value
,Medical Tech,100.0
Medical Tech,Imaging Systems,12.87
Imaging Systems,CT Scanners,5.94
CT Scanners,Reconstruction,5.94
Imaging Systems,MRI Machines,6.93
MRI Machines,Pulse Sequences,6.93
Medical Tech,Robotic Surgery,87.13
Robotic Surgery,Haptic Control,87.13
Haptic Control,Force Feedback,87.13
Force Feedback,Bilateral Teleoperation,87.13
Bilateral Teleoperation,Passivity Control,34.71
Bilateral Teleoperation,Wave Variables,52.42
