Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,73.7
Pedagogy,Active Learning,43.46
Active Learning,Flipped Classroom,6.52
Flipped Classroom,Digital Platforms,6.52
Active Learning,Project-Based,36.94
Project-Based,Collaborative Tools,36.94
Collaborative Tools,Real-Time Editing,17.74
Collaborative Tools,Version Control,19.2
Pedagogy,Competency-Based,30.24
Competency-Based,Micro-Credentials,30.24
Micro-Credentials,Blockchain Issuance,30.24
Blockchain Issuance,Smart Contracts,5.71
Blockchain Issuance,Decentralized IDs,24.53
Learning Systems,Experiential,26.3
Experiential,Lab Simulations,17.86
Lab Simulations,VR Environments,11.97
VR Environments,Haptic Feedback,11.97
Haptic Feedback,Force Gloves,6.56
Haptic Feedback,Motion Capture,5.41
Lab Simulations,AR Labs,5.89
AR Labs,Spatial Anchors,5.89
Experiential,Fieldwork Tech,8.44
Fieldwork Tech,Mobile Sensing,8.44
Mobile Sensing,IoT Kits,8.44
