Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,42.77
Payment Systems,Fraud Detection,18.33
Fraud Detection,ML Models,18.33
ML Models,Behavior Analysis,12.02
Behavior Analysis,Session Tracking,6.8
Behavior Analysis,Device Fingerprinting,5.22
ML Models,Anomaly Detection,6.31
Anomaly Detection,Isolation Forest,6.31
Payment Systems,Gateway APIs,24.44
Gateway APIs,Tokenization,24.44
Tokenization,PCI Compliance,24.44
PCI Compliance,Vaultless Systems,12.05
PCI Compliance,HSM Integration,12.39
Platform Architecture,Recommendation Engines,57.23
Recommendation Engines,Collaborative Filtering,44.51
Collaborative Filtering,Matrix Factorization,44.51
Matrix Factorization,SVD Algorithms,44.51
SVD Algorithms,Parallel Computing,28.34
SVD Algorithms,GPU Acceleration,16.17
Recommendation Engines,Real-Time Prediction,12.72
Real-Time Prediction,Stream Processing,12.72
Stream Processing,Kafka Pipelines,12.72
Kafka Pipelines,Exactly-Once Semantics,6.52
Kafka Pipelines,Stateful Operators,6.2
