Agriculture and Food Production,Agriculture Production Distribution by Category (2021),%
parent,child,value
,Crop Systems,100.0
Crop Systems,Precision Planting,67.49
Precision Planting,Seeders,43.94
Seeders,Row Units,43.94
Row Units,Depth Control,43.94
Depth Control,Parallel Linkages,36.74
Depth Control,Pressure Sensors,7.2
Precision Planting,Fertigation Systems,23.55
Fertigation Systems,Dosing Mechanisms,23.55
Dosing Mechanisms,Venturi Injectors,23.55
Venturi Injectors,Flow Calibration,8.66
Venturi Injectors,Anti-Clog Nozzles,14.89
Crop Systems,Irrigation Tech,32.51
Irrigation Tech,Pivot Systems,18.52
Pivot Systems,Control Modules,8.92
Control Modules,Water Flow,8.92
Water Flow,Valve Types,8.92
Pivot Systems,Sprinkler Types,9.6
Sprinkler Types,Impact Drive,9.6
Impact Drive,Nozzle Plates,9.6
Irrigation Tech,Drip Networks,13.99
Drip Networks,Emitter Design,13.99
Emitter Design,Pressure Compensating,13.99
Pressure Compensating,Silicone Diaphragms,13.99
Silicone Diaphragms,Laser-Drilled Orifices,7.31
Silicone Diaphragms,Turbulence Chambers,6.68
