Sports and Entertainment,Sports Distribution by Category (2022),%
parent,child,value
,Training Tech,100.0
Training Tech,Biomechanics,67.47
Biomechanics,Motion Capture,15.35
Motion Capture,Wearables,6.79
Wearables,IMU Sensors,6.79
Motion Capture,Optical Systems,8.56
Optical Systems,Infrared Markers,8.56
Biomechanics,Gait Analysis,52.12
Gait Analysis,Foot Strike,52.12
Foot Strike,Plantar Pressure,52.12
Plantar Pressure,Midsole Sensors,35.9
Plantar Pressure,Shear Force Detection,16.22
Training Tech,Force Analysis,32.53
Force Analysis,EMG Systems,27.08
EMG Systems,Wireless Sensors,27.08
Wireless Sensors,Signal Processing,27.08
Signal Processing,Noise Filtering,17.94
Signal Processing,Peak Detection,9.14
Force Analysis,Force Plates,5.45
Force Plates,Piezoelectric,5.45
Piezoelectric,Calibration,5.45
