Human Resources and Employee Management ,Employee Distribution by Category (2022),%
parent,child,value
,Talent Development,100.0
Talent Development,Competency Models,6.26
Talent Development,Career Pathing,93.74
Career Pathing,Succession Planning,74.26
Succession Planning,Graph Databases,74.26
Graph Databases,Neo4j Queries,74.26
Neo4j Queries,Cypher Scripts,59.69
Neo4j Queries,Path Algorithms,14.57
Career Pathing,Leadership Pipeline,19.48
Leadership Pipeline,Simulation Labs,19.48
Simulation Labs,VR Scenarios,19.48
VR Scenarios,Stress Testing,12.93
VR Scenarios,Decision Trees,6.55
