Social Media and Digital Media and Streaming,Social Media Distribution by Category (2024),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,User Interface,80.33
User Interface,Interaction Design,21.98
Interaction Design,Notification Systems,21.98
Notification Systems,Push Algorithm,10.86
Push Algorithm,ML-Based Prioritization,5.7
Push Algorithm,Context-Aware Delivery,5.16
Notification Systems,In-App Badges,11.12
In-App Badges,Dynamic Counter,11.12
Dynamic Counter,Animation Engine,5.24
Dynamic Counter,Memory Optimizer,5.88
User Interface,Accessibility,58.35
Accessibility,Screen Readers,58.35
Screen Readers,Voice Synthesis,58.35
Voice Synthesis,Neural TTS,58.35
Neural TTS,WaveNet,24.63
Neural TTS,Tacotron,33.72
Platform Architecture,Data Infrastructure,19.67
Data Infrastructure,Storage Systems,19.67
Storage Systems,Cloud Integration,8.06
Cloud Integration,Edge Computing,8.06
Edge Computing,Real-Time Sync,8.06
Storage Systems,Database Sharding,11.61
Database Sharding,Horizontal Partition,11.61
Horizontal Partition,Consistent Hashing,11.61
Consistent Hashing,Virtual Nodes,11.61
