Agriculture and Food Production,Agriculture Production Distribution by Category (2021),%
parent,child,value
,Crop Systems,100.0
Crop Systems,Precision Planting,74.33
Precision Planting,Seeders,14.52
Seeders,Row Units,14.52
Row Units,Depth Control,14.52
Depth Control,Parallel Linkages,6.89
Depth Control,Pressure Sensors,7.63
Precision Planting,Fertigation Systems,59.81
Fertigation Systems,Dosing Mechanisms,59.81
Dosing Mechanisms,Venturi Injectors,59.81
Venturi Injectors,Flow Calibration,39.09
Venturi Injectors,Anti-Clog Nozzles,20.72
Crop Systems,Irrigation Tech,25.67
Irrigation Tech,Pivot Systems,17.33
Pivot Systems,Control Modules,10.56
Control Modules,Water Flow,10.56
Water Flow,Valve Types,10.56
Valve Types,Ball Valves,5.26
Valve Types,Solenoid Valves,5.3
Pivot Systems,Sprinkler Types,6.77
Sprinkler Types,Impact Drive,6.77
Impact Drive,Nozzle Plates,6.77
Irrigation Tech,Drip Networks,8.34
Drip Networks,Emitter Design,8.34
Emitter Design,Pressure Compensating,8.34
Pressure Compensating,Silicone Diaphragms,8.34
