Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,90.03
Pedagogy,Active Learning,27.29
Active Learning,Flipped Classroom,19.21
Flipped Classroom,Digital Platforms,19.21
Digital Platforms,LMS Integration,9.12
Digital Platforms,Video Analytics,10.09
Active Learning,Project-Based,8.08
Project-Based,Collaborative Tools,8.08
Pedagogy,Competency-Based,62.74
Competency-Based,Micro-Credentials,62.74
Micro-Credentials,Blockchain Issuance,62.74
Blockchain Issuance,Smart Contracts,21.34
Blockchain Issuance,Decentralized IDs,41.4
Learning Systems,Experiential,9.97
