Healthcare and Health,Healthcare Distribution by Category (2022),%
parent,child,value
,Medical Tech,100.0
Medical Tech,Imaging Systems,23.8
Imaging Systems,CT Scanners,14.44
CT Scanners,Reconstruction,14.44
Reconstruction,Iterative Algorithms,5.77
Reconstruction,Deep Learning,8.67
Deep Learning,CNN Architectures,8.67
Imaging Systems,MRI Machines,9.36
MRI Machines,Pulse Sequences,9.36
Medical Tech,Robotic Surgery,76.2
Robotic Surgery,Haptic Control,76.2
Haptic Control,Force Feedback,76.2
Force Feedback,Bilateral Teleoperation,76.2
Bilateral Teleoperation,Passivity Control,17.13
Bilateral Teleoperation,Wave Variables,59.07
