Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,39.92
Cultural Activities,Art Exhibitions,30.51
Art Exhibitions,Gallery Shows,6.05
Art Exhibitions,Online Exhibitions,24.46
Online Exhibitions,Virtual Reality,9.4
Online Exhibitions,NFT Gallery,15.06
Cultural Activities,Public Art,9.41
,Artwork Sales,60.08
Artwork Sales,Primary Market,44.13
Primary Market,Galleries,23.78
Galleries,Contemporary,14.76
Galleries,Traditional,9.02
Primary Market,Art Fairs,20.35
Art Fairs,International,13.94
Art Fairs,Regional,6.41
Artwork Sales,Secondary Market,15.95
Secondary Market,Auction Houses,5.92
Secondary Market,Art Funds,10.03
Art Funds,Investment Grade,5.03
Art Funds,Experimental,5.0
