Agriculture and Food Production,Agriculture Production Distribution by Category (2021),%
parent,child,value
,Crop Systems,100.0
Crop Systems,Precision Planting,20.71
Precision Planting,Seeders,6.82
Seeders,Row Units,6.82
Row Units,Depth Control,6.82
Precision Planting,Fertigation Systems,13.89
Fertigation Systems,Dosing Mechanisms,13.89
Dosing Mechanisms,Venturi Injectors,13.89
Venturi Injectors,Flow Calibration,5.57
Venturi Injectors,Anti-Clog Nozzles,8.32
Crop Systems,Irrigation Tech,79.29
Irrigation Tech,Pivot Systems,33.6
Pivot Systems,Control Modules,6.59
Control Modules,Water Flow,6.59
Water Flow,Valve Types,6.59
Pivot Systems,Sprinkler Types,27.01
Sprinkler Types,Impact Drive,27.01
Impact Drive,Nozzle Plates,27.01
Nozzle Plates,Brass Alloy,17.03
Nozzle Plates,Ceramic Coatings,9.98
Irrigation Tech,Drip Networks,45.69
Drip Networks,Emitter Design,45.69
Emitter Design,Pressure Compensating,45.69
Pressure Compensating,Silicone Diaphragms,45.69
Silicone Diaphragms,Laser-Drilled Orifices,21.59
Silicone Diaphragms,Turbulence Chambers,24.1
