Food and Beverage Industry,Food Industry Distribution by Category (2021),%
parent,child,value
,Processing Lines,48.0
Processing Lines,Thermal Systems,48.0
Thermal Systems,Retort Machines,8.48
Thermal Systems,Blast Chillers,39.52
Blast Chillers,Refrigeration Circuits,39.52
Refrigeration Circuits,Compressor Types,39.52
Compressor Types,Scroll Compressors,34.03
Compressor Types,Screw Compressors,5.49
,Packaging Systems,52.0
Packaging Systems,Filling Machines,16.26
Filling Machines,Volumetric,8.16
Volumetric,Piston Fillers,8.16
Piston Fillers,Seal Mechanisms,8.16
Filling Machines,Gravimetric,8.1
Gravimetric,Load Cells,8.1
Load Cells,Calibration,8.1
Packaging Systems,Sealing Equipment,35.74
Sealing Equipment,Aseptic Sealers,35.74
Aseptic Sealers,H2O2 Sterilization,35.74
H2O2 Sterilization,Vapor Control,35.74
Vapor Control,Catalytic Converters,28.44
Vapor Control,Condensation Traps,7.3
