Energy and Utilities,Energy Distribution by Category (2024),%
parent,child,value
,Power Generation,100.0
Power Generation,Nuclear Plants,22.6
Nuclear Plants,Reactor Types,22.6
Reactor Types,Pressurized Water,10.79
Pressurized Water,Coolant Systems,10.79
Coolant Systems,Steam Generators,5.08
Coolant Systems,Pressurizers,5.71
Reactor Types,Boiling Water,11.81
Boiling Water,Containment,11.81
Containment,Suppression Pool,6.27
Containment,Drywell Venting,5.54
Power Generation,Renewable Farms,77.4
Renewable Farms,Solar Arrays,33.07
Solar Arrays,Tracking Systems,33.07
Tracking Systems,Single-Axis,22.4
Single-Axis,Drivetrain,22.4
Drivetrain,AC Motors,12.92
Drivetrain,PLC Controllers,9.48
Tracking Systems,Dual-Axis,10.67
Dual-Axis,Azimuth Control,10.67
Azimuth Control,GPS Alignment,5.38
Azimuth Control,Optical Sensors,5.29
Renewable Farms,Wind Turbines,44.33
Wind Turbines,Blade Design,44.33
Blade Design,Composite Materials,44.33
Composite Materials,Aerodynamic Testing,44.33
Aerodynamic Testing,Wind Tunnel,38.01
Aerodynamic Testing,CFD Simulation,6.32
