Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,11.79
Payment Systems,Fraud Detection,5.69
Fraud Detection,ML Models,5.69
Payment Systems,Gateway APIs,6.1
Gateway APIs,Tokenization,6.1
Tokenization,PCI Compliance,6.1
Platform Architecture,Recommendation Engines,88.21
Recommendation Engines,Collaborative Filtering,35.31
Collaborative Filtering,Matrix Factorization,35.31
Matrix Factorization,SVD Algorithms,35.31
SVD Algorithms,Parallel Computing,27.33
SVD Algorithms,GPU Acceleration,7.98
Recommendation Engines,Real-Time Prediction,52.9
Real-Time Prediction,Stream Processing,52.9
Stream Processing,Kafka Pipelines,52.9
Kafka Pipelines,Exactly-Once Semantics,7.89
Kafka Pipelines,Stateful Operators,45.01
