Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,91.48
Pedagogy,Active Learning,56.13
Active Learning,Flipped Classroom,21.8
Flipped Classroom,Digital Platforms,21.8
Digital Platforms,LMS Integration,12.08
Digital Platforms,Video Analytics,9.72
Active Learning,Project-Based,34.33
Project-Based,Collaborative Tools,34.33
Collaborative Tools,Real-Time Editing,9.35
Collaborative Tools,Version Control,24.98
Pedagogy,Competency-Based,35.35
Competency-Based,Micro-Credentials,35.35
Micro-Credentials,Blockchain Issuance,35.35
Blockchain Issuance,Smart Contracts,13.82
Blockchain Issuance,Decentralized IDs,21.53
Learning Systems,Experiential,8.52
