Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,11.21
Pedagogy,Active Learning,5.04
Pedagogy,Competency-Based,6.17
Competency-Based,Micro-Credentials,6.17
Micro-Credentials,Blockchain Issuance,6.17
Learning Systems,Experiential,88.79
Experiential,Lab Simulations,56.81
Lab Simulations,VR Environments,21.65
VR Environments,Haptic Feedback,21.65
Haptic Feedback,Force Gloves,16.45
Haptic Feedback,Motion Capture,5.2
Lab Simulations,AR Labs,35.16
AR Labs,Spatial Anchors,35.16
Spatial Anchors,Markerless Tracking,18.8
Spatial Anchors,Cloud Anchoring,16.36
Experiential,Fieldwork Tech,31.98
Fieldwork Tech,Mobile Sensing,31.98
Mobile Sensing,IoT Kits,31.98
IoT Kits,LoRa Modules,19.09
IoT Kits,Edge Computing,12.89
