Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,94.55
Pedagogy,Active Learning,81.92
Active Learning,Flipped Classroom,26.76
Flipped Classroom,Digital Platforms,26.76
Digital Platforms,LMS Integration,16.79
Digital Platforms,Video Analytics,9.97
Active Learning,Project-Based,55.16
Project-Based,Collaborative Tools,55.16
Collaborative Tools,Real-Time Editing,31.84
Collaborative Tools,Version Control,23.32
Pedagogy,Competency-Based,12.63
Competency-Based,Micro-Credentials,12.63
Micro-Credentials,Blockchain Issuance,12.63
Blockchain Issuance,Smart Contracts,5.03
Blockchain Issuance,Decentralized IDs,7.6
Learning Systems,Experiential,5.45
