Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
,Valuation Models,100.0
Valuation Models,Hedonic Pricing,7.25
Valuation Models,Amenity Scoring,92.75
Amenity Scoring,POI Analysis,52.72
POI Analysis,Network Buffers,7.07
Network Buffers,Walking Accessibility,7.07
POI Analysis,Data Scraping,45.65
Data Scraping,APIs Integration,45.65
APIs Integration,OAuth 2.0,11.46
APIs Integration,Rate Limiting,34.19
Amenity Scoring,School Districts,40.03
School Districts,Catchment Areas,40.03
Catchment Areas,Voronoi Diagrams,40.03
Voronoi Diagrams,Centroid Mapping,13.31
Voronoi Diagrams,Weighted Polygons,26.72
