Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
,Valuation Models,100.0
Valuation Models,Hedonic Pricing,37.31
Hedonic Pricing,Spatial Features,7.85
Hedonic Pricing,Crime Statistics,29.46
Crime Statistics,Hotspot Analysis,29.46
Hotspot Analysis,Getis-Ord Gi*,29.46
Getis-Ord Gi*,Z-Score Clustering,18.77
Getis-Ord Gi*,Temporal Smoothing,10.69
Valuation Models,Amenity Scoring,62.69
Amenity Scoring,POI Analysis,40.24
POI Analysis,Network Buffers,32.36
Network Buffers,Walking Accessibility,32.36
Walking Accessibility,Pedestrian Paths,21.62
Walking Accessibility,Crosswalk Density,10.74
POI Analysis,Data Scraping,7.88
Data Scraping,APIs Integration,7.88
Amenity Scoring,School Districts,22.45
School Districts,Catchment Areas,22.45
Catchment Areas,Voronoi Diagrams,22.45
Voronoi Diagrams,Centroid Mapping,6.89
Voronoi Diagrams,Weighted Polygons,15.56
