Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,29.93
Pedagogy,Active Learning,18.89
Active Learning,Flipped Classroom,9.39
Flipped Classroom,Digital Platforms,9.39
Active Learning,Project-Based,9.5
Project-Based,Collaborative Tools,9.5
Pedagogy,Competency-Based,11.04
Competency-Based,Micro-Credentials,11.04
Micro-Credentials,Blockchain Issuance,11.04
Blockchain Issuance,Smart Contracts,5.6
Blockchain Issuance,Decentralized IDs,5.44
Learning Systems,Experiential,70.07
Experiential,Lab Simulations,15.08
Lab Simulations,VR Environments,9.78
VR Environments,Haptic Feedback,9.78
Lab Simulations,AR Labs,5.3
AR Labs,Spatial Anchors,5.3
Experiential,Fieldwork Tech,54.99
Fieldwork Tech,Mobile Sensing,54.99
Mobile Sensing,IoT Kits,54.99
IoT Kits,LoRa Modules,29.89
IoT Kits,Edge Computing,25.1
